title,p10,q1,median,q3,p90,average,company_industry,correct_job_level,state
Leitung Key Account Management,65400,82200,106100,136900,172200,114900,Sales Operation Distribution,Lead,
"Leitung Gewerbe- und Firmenkunden (ohne Banken, Versicherungen)",60300,75800,97900,126300,158900,106000,Sales Operation Distribution,Lead,
"Leitung Privatkunden (ohne Banken, Versicherungen)",53700,67500,87100,112400,141400,94300,Sales Operation Distribution,Lead,
Leitung VerkaufsfÃ¶rderung,49700,62500,80700,104100,131000,87400,Sales Operation Distribution,Lead,
Leitung Vertrieb,59700,75100,96900,125100,157400,105000,Sales Operation Distribution,Lead,
Leitung Vertriebsinnendienst,49300,62000,80000,103300,129900,86600,Sales Operation Distribution,Lead,
Leitung Vertriebssteuerung/-controlling,54800,68900,89000,114800,144400,96300,Sales Operation Distribution,Lead,
Sachbearbeitung Vertrieb,34200,40600,48400,57700,67600,50200,Sales Operation Distribution,Junior,
Sachbearbeitung Vertriebscontrolling,35100,41800,49800,59400,69600,51700,Sales Operation Distribution,Junior,
Spezialist Vertriebssteuerung/-controlling,47000,56700,69300,84600,101400,72800,Sales Operation Distribution,Mid,
VerkaufsfÃ¶rderer/Merchandiser,39400,47200,57700,70500,84400,60600,Sales Operation Distribution,,
Vertriebsingenieur,45300,54300,66300,81000,97000,69600,Sales Operation Distribution,,
Vertriebsinnendienst (operativ),30800,36100,43000,51300,60100,44700,Sales Operation Distribution,,
Expert E-Commerce,39800,47600,58200,71100,85100,61100,Sales Retail,,
Leitung Verkaufsniederlassung/GeschÃ¤ftsstelle,54700,68900,88900,114700,144200,96200,Sales Retail,Lead,
Leitung E-Commerce,54200,68200,87900,113500,142800,95200,Sales Retail,Lead,
Storemanager/Filialleiter,30500,38400,49600,63900,80400,53600,Sales Retail,Senior,
Verkaufskraft,23200,27600,32900,39200,46000,34200,Sales Retail,,
Warenhausleitung,36400,45800,59100,76300,96000,64000,Sales Retail,Lead,
Bilanzbuchhalter,32700,39400,47800,57600,68100,49900,Finance,Junior,
Bilanzbuchhalter,34300,40600,48200,57000,66300,49900,Finance,Junior,BW
Bilanzbuchhalter,35400,41900,49800,58900,68400,51500,Finance,Junior,BY
Bilanzbuchhalter,33100,39200,46600,55100,64000,48200,Finance,Junior,BE
Bilanzbuchhalter,32500,37500,43500,51500,59800,45000,Finance,Junior,BB
Bilanzbuchhalter,32900,38900,46300,54800,63700,47900,Finance,Junior,HB
Bilanzbuchhalter,34800,41200,49000,57900,67300,50700,Finance,Junior,HH
Bilanzbuchhalter,34800,41100,48900,57800,67200,50600,Finance,Junior,HE
Bilanzbuchhalter,32500,37100,42600,50300,58500,44000,Finance,Junior,MV
Bilanzbuchhalter,34300,40600,48200,57000,66300,49900,Finance,Junior,NI
Bilanzbuchhalter,34900,41300,49100,58000,67500,50800,Finance,Junior,NW
Bilanzbuchhalter,33900,40100,47600,56300,65500,49300,Finance,Junior,RP
Bilanzbuchhalter,33200,39300,46800,55300,64300,48400,Finance,Junior,SL
Bilanzbuchhalter,32400,36600,41300,48800,56800,42700,Finance,Junior,SN
Bilanzbuchhalter,32400,37000,42200,50000,58100,43700,Finance,Junior,ST
Bilanzbuchhalter,34200,40500,48100,56900,66200,49800,Finance,Junior,SH
Bilanzbuchhalter,32500,37700,44000,52000,60500,45500,Finance,Junior,TH
Bilanzbuchhalter,39600,47600,57700,69900,83100,60300,Finance,Mid,
Bilanzbuchhalter,41600,49000,58200,69200,80900,60400,Finance,Mid,BW
Bilanzbuchhalter,43000,50500,60100,71400,83500,62300,Finance,Mid,BY
Bilanzbuchhalter,40100,47200,56100,66700,78000,58200,Finance,Mid,BE
Bilanzbuchhalter,39200,45000,52400,62200,72700,54300,Finance,Mid,BB
Bilanzbuchhalter,40000,47100,56000,66500,77700,58000,Finance,Mid,HB
Bilanzbuchhalter,42300,49700,59100,70300,82200,61300,Finance,Mid,HH
Bilanzbuchhalter,42100,49500,58900,70000,81800,61100,Finance,Mid,HE
Bilanzbuchhalter,39100,44400,51200,60800,71100,53100,Finance,Mid,MV
Bilanzbuchhalter,41600,49000,58200,69200,80900,60400,Finance,Mid,NI
Bilanzbuchhalter,42300,49800,59200,70400,82300,61400,Finance,Mid,NW
Bilanzbuchhalter,41200,48400,57600,68400,80000,59700,Finance,Mid,RP
Bilanzbuchhalter,40400,47500,56400,67100,78400,58500,Finance,Mid,SL
Bilanzbuchhalter,38900,43800,49900,59400,69400,51800,Finance,Mid,SN
Bilanzbuchhalter,39100,44400,51100,60700,70900,53000,Finance,Mid,ST
Bilanzbuchhalter,41300,48600,57800,68700,80300,60000,Finance,Mid,SH
Bilanzbuchhalter,39200,45300,52900,62900,73500,54900,Finance,Mid,TH
Bilanzbuchhalter,46600,55700,67700,82400,98400,71000,Finance,Senior,
Bilanzbuchhalter,48800,57200,68300,81500,95500,71000,Finance,Senior,BW
Bilanzbuchhalter,50400,59100,70600,84200,98700,73300,Finance,Senior,BY
Bilanzbuchhalter,47200,55300,66000,78700,92300,68500,Finance,Senior,BE
Bilanzbuchhalter,45800,52700,61700,73600,86300,64100,Finance,Senior,BB
Bilanzbuchhalter,47000,55100,65700,78400,91900,68300,Finance,Senior,HB
Bilanzbuchhalter,49700,58300,69500,83000,97300,72200,Finance,Senior,HH
Bilanzbuchhalter,49500,58000,69200,82600,96800,71900,Finance,Senior,HE
Bilanzbuchhalter,45500,51900,59900,71500,83900,62300,Finance,Senior,MV
Controller,51800,61900,75300,91600,109300,78900,Finance,Senior,
Controller,54300,63600,75900,90600,106200,78900,Finance,Senior,BW
Controller,52400,61400,73300,87500,102600,76200,Finance,Senior,BE
Controller,52200,61200,73000,87100,102200,75900,Finance,Senior,HB
Controller,55000,64500,76900,91800,107600,79900,Finance,Senior,HE
Controller,54400,63800,76100,90800,106500,79100,Finance,Senior,NI
Controller,51200,57500,65300,77900,91300,67800,Finance,Senior,SN
Controller,53800,63000,75200,89800,105200,78100,Finance,Senior,RP
Controller,54100,63400,75600,90200,105800,78600,Finance,Senior,SH
Controller,51500,59200,69000,82400,96600,71700,Finance,Senior,TH
Controller,51800,61900,75300,91600,109300,78900,Finance,Senior,
Controller,44400,52800,64000,77600,92200,66900,Finance,Mid,
Controller,46500,54300,64600,76800,89700,67000,Finance,Mid,BW
Controller,48000,56100,66700,79300,92600,69100,Finance,Mid,BY
Controller,44800,52400,62300,74100,86500,64600,Finance,Mid,BE
Controller,43500,49900,58100,69100,80700,60300,Finance,Mid,BB
Controller,44700,52200,62100,73800,86300,64400,Finance,Mid,HB
Controller,47200,55200,65600,78000,91200,68100,Finance,Mid,HH
Controller,47000,55000,65300,77700,90800,67800,Finance,Mid,HE
Controller,44400,52800,64000,77600,92200,66900,Finance,Mid,
Controller,35700,42400,51100,61600,72800,53300,Finance,Junior,
Controller,35600,40600,47000,55600,64700,48700,Finance,Junior,TH
Controller,37400,43500,51500,60900,70800,53300,Finance,Junior,SH
Controller,35500,39800,45200,53400,62100,46800,Finance,Junior,ST
Controller,35500,39400,44200,52200,60700,45700,Finance,Junior,SN
Controller,36300,42300,50000,59100,68800,51800,Finance,Junior,SL
Controller,37000,43100,50900,60200,70100,52700,Finance,Junior,RP
Controller,38100,44400,52500,62100,72200,54300,Finance,Junior,NW
Controller,37500,43600,51600,61000,70900,53400,Finance,Junior,NI
Controller,35600,40000,45500,53800,62600,47100,Finance,Junior,MV
Riskmanager,58100,69300,84300,102600,122400,88400,Finance,Senior,
Riskmanager,60500,71000,84700,101000,118500,88000,Finance,Senior,SH
Riskmanager,61500,66800,73100,87200,102300,76000,Finance,Senior,SN
Riskmanager,60200,70600,84200,100500,117800,87500,Finance,Senior,RP
Riskmanager,60900,71400,85200,101700,119300,88600,Finance,Senior,NI
Riskmanager,61600,72200,86100,102800,120500,89500,Finance,Senior,HE
Riskmanager,58100,69300,84300,102600,122400,88400,Finance,Senior,
Riskmanager,50700,60300,73100,88600,105400,76500,Finance,Mid,
Riskmanager,53700,62800,74700,88800,103700,77400,Finance,Mid,HE
Riskmanager,52600,58100,64900,77100,90100,67300,Finance,Mid,MV
Riskmanager,53100,62100,73800,87700,102500,76600,Finance,Mid,NI
Riskmanager,54000,63200,75100,89300,104300,77900,Finance,Mid,NW
Riskmanager,52500,61400,73000,86800,101400,75700,Finance,Mid,RP
Riskmanager,53100,62100,73800,87700,102500,76500,Finance,Mid,BW
Riskmanager,41100,48300,57100,67600,78600,59100,Finance,Junior,BW
Riskmanager,39200,47000,56600,68200,80700,59100,Finance,Junior,
Riskmanager,39700,46600,55200,65200,75900,57100,Finance,Junior,BE
Riskmanager,40100,45200,51500,61000,70900,53300,Finance,Junior,BB
Riskmanager,39500,46400,54900,64900,75400,56800,Finance,Junior,HB
Riskmanager,41700,49000,58000,68600,79700,60000,Finance,Junior,HH
Riskmanager,41800,49200,58100,68700,79900,60200,Finance,Junior,NW
Backend Entwickler,45400,55200,67500,82200,98000,70800,Information Technology IT,Senior,
Backend Entwickler,47700,56900,68100,81200,95200,70700,Information Technology IT,Senior,BW
Backend Entwickler,49200,58800,70300,83900,98400,73100,Information Technology IT,Senior,BY
Backend Entwickler,46000,54900,65700,78400,92000,68300,Information Technology IT,Senior,BE
Backend Entwickler,45500,52900,61500,73400,86000,63900,Information Technology IT,Senior,BB
Backend Entwickler,45900,54700,65500,78100,91600,68000,Information Technology IT,Senior,HB
Backend Entwickler,48500,57900,69300,82700,97000,72000,Information Technology IT,Senior,HH
Backend Entwickler,48300,57600,69000,82300,96500,71600,Information Technology IT,Senior,HE
Backend Entwickler,45500,52100,59700,71300,83600,62100,Information Technology IT,Senior,MV
Backend Entwickler,47800,57000,68300,81400,95500,70900,Information Technology IT,Senior,NI
Backend Entwickler,48500,57900,69200,82600,96900,71900,Information Technology IT,Senior,NW
Backend Entwickler,47200,56400,67400,80500,94400,70100,Information Technology IT,Senior,RP
Backend Entwickler,46500,55500,66400,79300,92900,69000,Information Technology IT,Senior,SL
Backend Entwickler,45500,51600,58500,69900,81900,60800,Information Technology IT,Senior,SN
Backend Entwickler,45500,52100,59700,71300,83500,62000,Information Technology IT,Senior,ST
Backend Entwickler,47500,56700,67800,80900,94900,70400,Information Technology IT,Senior,SH
Backend Entwickler,45500,53000,61900,73900,86600,64300,Information Technology IT,Senior,TH
Backend Entwickler,45400,55200,67500,82200,98000,70800,Information Technology IT,Senior,
Backend Entwickler,40400,49000,59800,72500,86200,62600,Information Technology IT,Mid,
Backend Entwickler,42500,50500,60400,71800,83900,62600,Information Technology IT,Mid,BW
Backend Entwickler,43800,52100,62300,74100,86600,64600,Information Technology IT,Mid,BY
Backend Entwickler,40900,48700,58200,69200,80900,60400,Information Technology IT,Mid,BE
Backend Entwickler,39900,46500,54300,64600,75400,56300,Information Technology IT,Mid,BB
Backend Entwickler,40800,48500,58000,69000,80600,60200,Information Technology IT,Mid,HB
Backend Entwickler,43100,51300,61300,72900,85200,63600,Information Technology IT,Mid,HH
Backend Entwickler,43000,51100,61100,72600,84900,63400,Information Technology IT,Mid,HE
Backend Entwickler,39800,45900,53100,63100,73700,55100,Information Technology IT,Mid,MV
Backend Entwickler,42500,50500,60400,71800,83900,62600,Information Technology IT,Mid,NI
Backend Entwickler,43200,51400,61400,73000,85300,63700,Information Technology IT,Mid,NW
Backend Entwickler,42000,49900,59700,71000,83000,61900,Information Technology IT,Mid,RP
Backend Entwickler,41200,49000,58500,69600,81300,60700,Information Technology IT,Mid,SL
Backend Entwickler,39700,45300,51800,61600,71900,53700,Information Technology IT,Mid,SN
Backend Entwickler,39800,45900,53000,63000,73600,54900,Information Technology IT,Mid,ST
Backend Entwickler,42200,50100,60000,71300,83300,62200,Information Technology IT,Mid,SH
Backend Entwickler,40000,46700,54900,65200,76200,56900,Information Technology IT,Mid,TH
Backend Entwickler,40400,49000,59800,72500,86200,62600,Information Technology IT,Mid,
Backend Entwickler,32600,39300,47800,57600,68100,49800,Information Technology IT,Junior,
Backend Entwickler,34200,40500,48200,57000,66300,49900,Information Technology IT,Junior,BW
Backend Entwickler,35300,41800,49800,58800,68400,51500,Information Technology IT,Junior,BY
Backend Entwickler,33000,39100,46600,55000,64000,48200,Information Technology IT,Junior,BE
Backend Entwickler,32400,37500,43500,51400,59800,45000,Information Technology IT,Junior,BB
Backend Entwickler,32900,38800,46300,54700,63700,47900,Information Technology IT,Junior,HB
Backend Entwickler,34700,41100,48900,57900,67300,50600,Information Technology IT,Junior,HH
Backend Entwickler,34700,41000,48900,57800,67200,50600,Information Technology IT,Junior,HE
Backend Entwickler,32400,37100,42500,50300,58500,44000,Information Technology IT,Junior,MV
Backend Entwickler,34200,40500,48200,57000,66300,49900,Information Technology IT,Junior,NI
Backend Entwickler,34800,41200,49100,58000,67500,50800,Information Technology IT,Junior,NW
Backend Entwickler,33800,40000,47600,56300,65500,49300,Information Technology IT,Junior,RP
Backend Entwickler,33200,39200,46700,55300,64300,48400,Information Technology IT,Junior,SL
Backend Entwickler,32400,36500,41300,48800,56800,42700,Information Technology IT,Junior,SN
Backend Entwickler,32400,36900,42200,49900,58100,43700,Information Technology IT,Junior,ST
Backend Entwickler,34100,40400,48100,56900,66200,49800,Information Technology IT,Junior,SH
Backend Entwickler,32500,37700,43900,52000,60400,45500,Information Technology IT,Junior,TH
Data Scientist,54000,64400,78400,95400,113800,82200,Information Technology IT,Senior,
Data Scientist,57200,67100,80100,95600,112000,83200,Information Technology IT,Senior,HE
Data Scientist,53500,60500,69400,82800,97100,72100,Information Technology IT,Senior,MV
Data Scientist,56700,66400,79300,94600,110900,82300,Information Technology IT,Senior,NI
Data Scientist,56300,66000,78700,94000,110200,81800,Information Technology IT,Senior,SH
Data Scientist,54600,64000,76300,91100,106800,79300,Information Technology IT,Senior,BE
Data Scientist,54000,64400,78400,95400,113800,82200,Information Technology IT,Senior,
Data Scientist,45800,54500,66100,80100,95200,69100,Information Technology IT,Mid,
Data Scientist,48000,56100,66700,79300,92600,69200,Information Technology IT,Mid,BW
Data Scientist,49500,57900,68800,81800,95600,71400,Information Technology IT,Mid,BY
Data Scientist,46300,54100,64300,76500,89300,66700,Information Technology IT,Mid,BE
Data Scientist,45500,51200,58500,69500,81300,60700,Information Technology IT,Mid,ST
Data Scientist,47500,55500,65900,78400,91600,68400,Information Technology IT,Mid,RP
Data Scientist,45800,54500,66100,80100,95200,69100,Information Technology IT,Mid,
Data Scientist,37000,44100,53200,64000,75700,55500,Information Technology IT,Junior,
Data Scientist,37000,41400,47000,55500,64600,48600,Information Technology IT,Junior,ST
Data Scientist,38300,44800,53000,62600,72800,54800,Information Technology IT,Junior,RP
Data Scientist,37000,41600,47300,56000,65100,49000,Information Technology IT,Junior,MV
Data Scientist,37200,43600,51500,60900,70800,53300,Information Technology IT,Junior,HB
Data Scientist,40000,46800,55400,65400,76000,57300,Information Technology IT,Junior,BY
Data Scientist,39500,46200,54600,64500,75100,56500,Information Technology IT,Junior,NW
IT Software Architekt,57300,68400,83200,101300,120800,87200,Information Technology IT,Senior,
IT Software Architekt,60000,70300,83900,100100,117400,87200,Information Technology IT,Senior,BW
IT Software Architekt,57400,65500,75800,90400,106000,78700,Information Technology IT,Senior,BB
IT Software Architekt,60800,71200,85000,101400,118900,88300,Information Technology IT,Senior,HE
IT Software Architekt,61000,71500,85400,101800,119400,88700,Information Technology IT,Senior,NW
IT Software Architekt,57400,64000,72200,86100,100900,75000,Information Technology IT,Senior,SN
IT Software Architekt,57400,65700,76300,91100,106800,79300,Information Technology IT,Senior,TH
IT Software Architekt,57300,68400,83200,101300,120800,87200,Information Technology IT,Senior,
IT Software Architekt,50000,59500,72100,87400,103900,75400,Information Technology IT,Mid,
IT Software Architekt,53000,61900,73600,87600,102300,76400,Information Technology IT,Mid,HE
IT Software Architekt,48900,55600,64000,76100,88900,66400,Information Technology IT,Mid,MV
IT Software Architekt,52400,61200,72800,86500,101100,75500,Information Technology IT,Mid,NI
IT Software Architekt,53300,62300,74100,88000,102900,76800,Information Technology IT,Mid,NW
IT Software Architekt,51800,60500,72000,85600,100000,74700,Information Technology IT,Mid,RP
IT Software Architekt,50800,59400,70600,83900,98100,73200,Information Technology IT,Mid,SL
IT Software Architekt,50000,59500,72100,87400,103900,75400,Information Technology IT,Mid,
IT Software Architekt,39000,46100,55500,66900,79100,57900,Information Technology IT,Junior,
IT Software Architekt,40700,47400,56000,66200,77000,58000,Information Technology IT,Junior,BW
IT Software Architekt,42000,48900,57800,68300,79500,59800,Information Technology IT,Junior,BY
IT Software Architekt,39300,45700,54100,63900,74400,56000,Information Technology IT,Junior,BE
IT Software Architekt,38700,43900,50500,59800,69500,52300,Information Technology IT,Junior,BB
IT Software Architekt,39100,45500,53800,63600,73900,55600,Information Technology IT,Junior,HB
IT Software Architekt,41300,48100,56800,67200,78200,58800,Information Technology IT,Junior,HH
Redakteur/Content Manager,45300,54100,65800,80000,95500,68900,Communication Public Relations,Senior,
Redakteur/Content Manager,45800,53700,64100,76400,89600,66500,Communication Public Relations,Senior,BE
Redakteur/Content Manager,48300,56600,67500,80600,94500,70200,Communication Public Relations,Senior,HH
Redakteur/Content Manager,47500,55700,66500,79400,93000,69100,Communication Public Relations,Senior,NI
Redakteur/Content Manager,46300,54200,64700,77200,90600,67200,Communication Public Relations,Senior,SL
Redakteur/Content Manager,47200,55400,66100,78800,92400,68600,Communication Public Relations,Senior,SH
Redakteur/Content Manager,49000,57400,68500,81800,95900,71200,Communication Public Relations,Senior,BY
Redakteur/Content Manager,45600,53500,63800,76100,89300,66300,Communication Public Relations,Senior,HB
Redakteur/Content Manager,45300,54100,65800,80000,95500,68900,Communication Public Relations,Senior,
Redakteur/Content Manager,39000,46400,56200,68100,81000,58800,Communication Public Relations,Mid,
Redakteur/Content Manager,42100,49200,58500,69600,81300,60700,Communication Public Relations,Mid,BY
Redakteur/Content Manager,39200,45900,54500,64800,75800,56600,Communication Public Relations,Mid,HB
Redakteur/Content Manager,38000,43200,49900,59300,69300,51700,Communication Public Relations,Mid,MV
Redakteur/Content Manager,40400,47200,56100,66700,77900,58200,Communication Public Relations,Mid,RP
Redakteur/Content Manager,38200,44000,51500,61300,71600,53500,Communication Public Relations,Mid,TH
Redakteur/Content Manager,37900,43100,49800,59200,69100,51600,Communication Public Relations,Mid,ST
Redakteur/Content Manager,37700,42600,48600,57800,67600,50500,Communication Public Relations,Mid,SN
Redakteur/Content Manager,39000,46400,56200,68100,81000,58800,Communication Public Relations,Mid,
Redakteur/Content Manager,33300,39600,47700,57400,67900,49700,Communication Public Relations,Junior,
Redakteur/Content Manager,34900,40700,48100,56900,66100,49800,Communication Public Relations,Junior,BW
Redakteur/Content Manager,32800,37400,43400,51300,59700,44900,Communication Public Relations,Junior,BB
Redakteur/Content Manager,35400,41200,48700,57600,67000,50500,Communication Public Relations,Junior,HE
Redakteur/Content Manager,35500,41400,48900,57900,67300,50700,Communication Public Relations,Junior,NW
Redakteur/Content Manager,32400,36300,41200,48700,56600,42600,Communication Public Relations,Junior,SN
Redakteur/Content Manager,32800,37700,43800,51800,60300,45400,Communication Public Relations,Junior,TH
Redakteur/Content Manager,36000,42000,49600,58700,68300,51400,Communication Public Relations,Junior,BY
Redakteur/Content Manager,33500,39100,46200,54600,63500,47800,Communication Public Relations,Junior,HB
Redakteur/Content Manager,33700,39300,46400,54900,63900,48100,Communication Public Relations,Junior,BE
Referent Unternehmenskommunikation/PR,48300,57700,70200,85400,101900,73500,Communication Public Relations,Senior,
Referent Unternehmenskommunikation/PR,47500,54700,63900,76300,89400,66400,Communication Public Relations,Senior,BB
Referent Unternehmenskommunikation/PR,48600,57000,68100,81200,95200,70700,Communication Public Relations,Senior,HB
Referent Unternehmenskommunikation/PR,51500,60400,72000,86000,100800,74800,Communication Public Relations,Senior,HH
Referent Unternehmenskommunikation/PR,51200,60100,71700,85500,100300,74500,Communication Public Relations,Senior,HE
Referent Unternehmenskommunikation/PR,47300,53800,62100,74100,86900,64500,Communication Public Relations,Senior,MV
Referent Unternehmenskommunikation/PR,50700,59500,70900,84600,99200,73700,Communication Public Relations,Senior,NI
Referent Unternehmenskommunikation/PR,51400,60300,72000,85900,100700,74800,Communication Public Relations,Senior,NW
Referent Unternehmenskommunikation/PR,50100,58700,70100,83600,98100,72800,Communication Public Relations,Senior,RP
Referent Unternehmenskommunikation/PR,49400,57900,69000,82400,96600,71700,Communication Public Relations,Senior,SL
Referent Unternehmenskommunikation/PR,48300,57700,70200,85400,101900,73500,Communication Public Relations,Senior,
Referent Unternehmenskommunikation/PR,41300,49000,59400,72100,85700,62200,Communication Public Relations,Mid,
Referent Unternehmenskommunikation/PR,44600,52100,61900,73600,86100,64200,Communication Public Relations,Mid,BY
Referent Unternehmenskommunikation/PR,41500,48500,57700,68600,80100,59800,Communication Public Relations,Mid,HB
Referent Unternehmenskommunikation/PR,41100,46300,52700,62700,73300,54700,Communication Public Relations,Mid,MV
Referent Unternehmenskommunikation/PR,42700,49900,59300,70600,82500,61600,Communication Public Relations,Mid,RP
Referent Unternehmenskommunikation/PR,41100,46200,52600,62600,73100,54600,Communication Public Relations,Mid,ST
Referent Unternehmenskommunikation/PR,43900,51300,61000,72500,84700,63200,Communication Public Relations,Mid,HH
Referent Unternehmenskommunikation/PR,43900,51300,61000,72600,84800,63300,Communication Public Relations,Mid,NW
Referent Unternehmenskommunikation/PR,41300,49000,59400,72100,85700,62200,Communication Public Relations,Mid,
Referent Unternehmenskommunikation/PR,33800,40000,48200,58100,68700,50300,Communication Public Relations,Junior,
Referent Unternehmenskommunikation/PR,34400,39900,47000,55600,64600,48600,Communication Public Relations,Junior,BE
Referent Unternehmenskommunikation/PR,35900,41800,49400,58400,67900,51100,Communication Public Relations,Junior,HH
Referent Unternehmenskommunikation/PR,35400,41200,48700,57600,66900,50400,Communication Public Relations,Junior,NI
Referent Unternehmenskommunikation/PR,34300,39900,47200,55800,64900,48800,Communication Public Relations,Junior,SL
Referent Unternehmenskommunikation/PR,35500,39500,44400,52500,61000,45900,Communication Public Relations,Junior,TH
Referent Unternehmenskommunikation/PR,35300,41100,48600,57400,66800,50300,Communication Public Relations,Junior,SH
Referent Unternehmenskommunikation/PR,36900,39100,41700,49300,57300,43100,Communication Public Relations,Junior,SN
Backend Entwickler,45400,55200,67500,82200,98000,70800,Information Technology IT,Senior,
Backend Entwickler,47700,56900,68100,81200,95200,70700,Information Technology IT,Senior,BW
Backend Entwickler,49200,58800,70300,83900,98400,73100,Information Technology IT,Senior,BY
Backend Entwickler,46000,54900,65700,78400,92000,68300,Information Technology IT,Senior,BE
Backend Entwickler,45500,52900,61500,73400,86000,63900,Information Technology IT,Senior,BB
Backend Entwickler,45900,54700,65500,78100,91600,68000,Information Technology IT,Senior,HB
Backend Entwickler,48500,57900,69300,82700,97000,72000,Information Technology IT,Senior,HH
Backend Entwickler,48300,57600,69000,82300,96500,71600,Information Technology IT,Senior,HE
Backend Entwickler,45500,52100,59700,71300,83600,62100,Information Technology IT,Senior,MV
Backend Entwickler,47800,57000,68300,81400,95500,70900,Information Technology IT,Senior,NI
Backend Entwickler,48500,57900,69200,82600,96900,71900,Information Technology IT,Senior,NW
Backend Entwickler,47200,56400,67400,80500,94400,70100,Information Technology IT,Senior,RP
Backend Entwickler,46500,55500,66400,79300,92900,69000,Information Technology IT,Senior,SL
Backend Entwickler,45500,51600,58500,69900,81900,60800,Information Technology IT,Senior,SN
Backend Entwickler,45500,52100,59700,71300,83500,62000,Information Technology IT,Senior,ST
Backend Entwickler,47500,56700,67800,80900,94900,70400,Information Technology IT,Senior,SH
Backend Entwickler,45500,53000,61900,73900,86600,64300,Information Technology IT,Senior,TH
Backend Entwickler,45400,55200,67500,82200,98000,70800,Information Technology IT,Senior,
Backend Entwickler,40400,49000,59800,72500,86200,62600,Information Technology IT,Mid,
Backend Entwickler,42500,50500,60400,71800,83900,62600,Information Technology IT,Mid,BW
Backend Entwickler,43800,52100,62300,74100,86600,64600,Information Technology IT,Mid,BY
Backend Entwickler,40900,48700,58200,69200,80900,60400,Information Technology IT,Mid,BE
Backend Entwickler,39900,46500,54300,64600,75400,56300,Information Technology IT,Mid,BB
Backend Entwickler,40800,48500,58000,69000,80600,60200,Information Technology IT,Mid,HB
Backend Entwickler,43100,51300,61300,72900,85200,63600,Information Technology IT,Mid,HH
Backend Entwickler,43000,51100,61100,72600,84900,63400,Information Technology IT,Mid,HE
Backend Entwickler,39800,45900,53100,63100,73700,55100,Information Technology IT,Mid,MV
Backend Entwickler,42500,50500,60400,71800,83900,62600,Information Technology IT,Mid,NI
Backend Entwickler,43200,51400,61400,73000,85300,63700,Information Technology IT,Mid,NW
Backend Entwickler,42000,49900,59700,71000,83000,61900,Information Technology IT,Mid,RP
Backend Entwickler,41200,49000,58500,69600,81300,60700,Information Technology IT,Mid,SL
Backend Entwickler,39700,45300,51800,61600,71900,53700,Information Technology IT,Mid,SN
Backend Entwickler,39800,45900,53000,63000,73600,54900,Information Technology IT,Mid,ST
Backend Entwickler,42200,50100,60000,71300,83300,62200,Information Technology IT,Mid,SH
Backend Entwickler,40000,46700,54900,65200,76200,56900,Information Technology IT,Mid,TH
Backend Entwickler,40400,49000,59800,72500,86200,62600,Information Technology IT,Mid,
Backend Entwickler,32600,39300,47800,57600,68100,49800,Information Technology IT,Junior,
Backend Entwickler,34200,40500,48200,57000,66300,49900,Information Technology IT,Junior,BW
Backend Entwickler,35300,41800,49800,58800,68400,51500,Information Technology IT,Junior,BY
Backend Entwickler,33000,39100,46600,55000,64000,48200,Information Technology IT,Junior,BE
Backend Entwickler,32400,37500,43500,51400,59800,45000,Information Technology IT,Junior,BB
Backend Entwickler,32900,38800,46300,54700,63700,47900,Information Technology IT,Junior,HB
Backend Entwickler,34700,41100,48900,57900,67300,50600,Information Technology IT,Junior,HH
Backend Entwickler,34700,41000,48900,57800,67200,50600,Information Technology IT,Junior,HE
Backend Entwickler,32400,37100,42500,50300,58500,44000,Information Technology IT,Junior,MV
Backend Entwickler,34200,40500,48200,57000,66300,49900,Information Technology IT,Junior,NI
Backend Entwickler,34800,41200,49100,58000,67500,50800,Information Technology IT,Junior,NW
Backend Entwickler,33800,40000,47600,56300,65500,49300,Information Technology IT,Junior,RP
Backend Entwickler,33200,39200,46700,55300,64300,48400,Information Technology IT,Junior,SL
Backend Entwickler,32400,36500,41300,48800,56800,42700,Information Technology IT,Junior,SN
Backend Entwickler,32400,36900,42200,49900,58100,43700,Information Technology IT,Junior,ST
Backend Entwickler,34100,40400,48100,56900,66200,49800,Information Technology IT,Junior,SH
Backend Entwickler,32500,37700,43900,52000,60400,45500,Information Technology IT,Junior,TH
Data Scientist,54000,64400,78400,95400,113800,82200,Information Technology IT,Senior,
Data Scientist,57200,67100,80100,95600,112000,83200,Information Technology IT,Senior,HE
Data Scientist,53500,60500,69400,82800,97100,72100,Information Technology IT,Senior,MV
Data Scientist,56700,66400,79300,94600,110900,82300,Information Technology IT,Senior,NI
Data Scientist,56300,66000,78700,94000,110200,81800,Information Technology IT,Senior,SH
Data Scientist,54600,64000,76300,91100,106800,79300,Information Technology IT,Senior,BE
Data Scientist,54000,64400,78400,95400,113800,82200,Information Technology IT,Senior,
Data Scientist,45800,54500,66100,80100,95200,69100,Information Technology IT,Mid,
Data Scientist,48000,56100,66700,79300,92600,69200,Information Technology IT,Mid,BW
Data Scientist,49500,57900,68800,81800,95600,71400,Information Technology IT,Mid,BY
Data Scientist,46300,54100,64300,76500,89300,66700,Information Technology IT,Mid,BE
Data Scientist,45500,51200,58500,69500,81300,60700,Information Technology IT,Mid,ST
Data Scientist,47500,55500,65900,78400,91600,68400,Information Technology IT,Mid,RP
Data Scientist,45800,54500,66100,80100,95200,69100,Information Technology IT,Mid,
Data Scientist,37000,44100,53200,64000,75700,55500,Information Technology IT,Junior,
